Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-2017,7.44E+15,1,spicy miso ramen
2,01-01-2017,7.44E+15,1,spicy miso ramen
3,01-01-2017,8.42E+15,3,tori paitan ramen
4,01-01-2017,8.42E+15,3,tori paitan ramen
5,01-01-2017,4.79E+15,1,truffle butter ramen
6,01-01-2017,4.79E+15,1,truffle butter ramen
7,01-01-2017,8.25E+15,1,tonkotsu ramen
8,01-01-2017,8.25E+15,1,tonkotsu ramen
9,01-01-2017,3.12E+15,1,vegetarian spicy miso
10,01-01-2017,3.12E+15,1,vegetarian spicy miso
11,01-01-2017,5.19E+15,1,shio ramen
12,01-01-2017,5.19E+15,1,shio ramen
13,01-01-2017,1.63E+15,1,tori paitan ramen
14,01-01-2017,1.63E+15,1,tori paitan ramen
15,01-01-2017,5.05E+14,1,vegetarian spicy miso
16,01-01-2017,5.05E+14,1,vegetarian spicy miso
17,01-01-2017,5.01E+15,1,spicy miso ramen
18,01-01-2017,5.01E+15,1,spicy miso ramen
19,01-01-2017,1.79E+15,2,truffle butter ramen
20,01-01-2017,1.79E+15,2,truffle butter ramen
21,01-01-2017,7.62E+14,2,tonkotsu ramen
22,01-01-2017,7.62E+14,2,tonkotsu ramen
23,01-01-2017,9.02E+15,1,truffle butter ramen
24,01-01-2017,9.02E+15,1,truffle butter ramen
25,01-01-2017,8.39E+15,2,tori paitan ramen
26,01-01-2017,8.39E+15,2,tori paitan ramen
27,01-01-2017,8.41E+15,1,spicy miso ramen
28,01-01-2017,8.41E+15,1,spicy miso ramen
29,01-01-2017,9.30E+15,1,vegetarian spicy miso
30,01-01-2017,9.30E+15,1,vegetarian spicy miso
31,01-01-2017,4.84E+15,1,vegetarian spicy miso
32,01-01-2017,4.84E+15,1,vegetarian spicy miso
33,01-01-2017,6.23E+15,4,tonkotsu ramen
34,01-01-2017,6.23E+15,4,tonkotsu ramen
35,01-01-2017,2.64E+15,4,miso crab ramen
36,01-01-2017,2.64E+15,4,miso crab ramen
37,01-01-2017,9.50E+15,1,miso crab ramen
38,01-01-2017,9.50E+15,1,miso crab ramen
39,01-01-2017,5.57E+15,1,nagomi shoyu
40,01-01-2017,5.57E+15,1,nagomi shoyu
41,01-01-2017,2.21E+15,1,truffle butter ramen
42,01-01-2017,2.21E+15,1,truffle butter ramen
43,01-01-2017,6.13E+15,1,tori paitan ramen
44,01-01-2017,6.13E+15,1,tori paitan ramen
45,01-01-2017,4.57E+15,1,truffle butter ramen
46,01-01-2017,4.57E+15,1,truffle butter ramen
47,01-01-2017,8.67E+15,1,vegetarian spicy miso
